"","az","date","senat","Anordnung","link","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"2726","1BvR523/11",2012-04-16,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/04/rk20120416_1bvr052311.html;jsessionid=2F21385028B92F6A3B7F690C44A88C8A.2_cid361",1,"Eichberger","Masing","Baer","Kirchhof","Eichberger","Masing","Baer Schluckebier Britz Paulus Gaier","Kirchhof","Baer","Eichberger Masing Baer",2,0,"1","Baer Schluckebier Britz Paulus Gaier",2,FALSE,0
"4199","1BvR1840/12",2012-08-31,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/08/rk20120831_1bvr184012.html;jsessionid=9331947F47C3DF0430C43507A32ED86E.2_cid383",1,"Kirchhof","Schluckebier","Masing","Kirchhof","Eichberger","Masing","Baer Schluckebier Britz Paulus Gaier","Eichberger","Schluckebier","Kirchhof Masing Baer",2,0,"2","Baer Schluckebier Britz Gaier",1,FALSE,1
"3360","1BvR2271/14",2014-08-18,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/08/rk20140818_1bvr227114.html;jsessionid=1EA74CE209CCBCB21683A9D225F07ED6.2_cid392",1,"Kirchhof","Eichberger","Baer","Kirchhof","Eichberger","Britz","Baer Masing Paulus Schluckebier Gaier","Britz","Baer","Kirchhof Eichberger Baer",1,0,"1","Baer Masing Paulus Schluckebier Gaier",1,FALSE,0
"1611","1BvQ8/16",2016-02-24,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2016/02/qk20160224_1bvq000816.html;jsessionid=6C990C95823B12706064CC4FA81400E9.2_cid383",1,"Eichberger","Masing","Britz","Kirchhof","Eichberger","Britz","Baer Masing Paulus Schluckebier Gaier","Kirchhof","Masing","Eichberger Britz Baer",2,0,"2","Baer Masing Paulus Schluckebier Gaier",2,FALSE,1
"834","1BvR327/97",1998-08-04,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/08/rk19980804_1bvr032797.html;jsessionid=15F3340EB6D573E2781A336C8538FF69.2_cid394",2,"Kühling","Jaeger","Hömig","Kühling","Jaeger","Steiner","Hömig Grimm Papier Haas Seibert","Steiner","Hömig","Kühling Jaeger Hömig",2,0,"1","Hömig Grimm Papier Haas",2,FALSE,0
"4511","1BvR420/97",2000-01-10,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/01/rk20000110_1bvr042097.html;jsessionid=A5F8DDFF7A14A5E5DEC3374435944847.2_cid392",2,"Kühling","Jaeger","Steiner","Kühling","Jaeger","Hömig","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas","Hömig","Steiner","Kühling Jaeger Hoffmann-Riem",3,1,"2","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas",2,FALSE,1
"3256","1BvQ8/00",2000-05-15,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/05/qk20000515_1bvq000800.html;jsessionid=B07302EDE27849D3E1B891CE95237F94.2_cid392",2,"Kühling","Hömig","Steiner","Kühling","Jaeger","Hömig","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas","Jaeger","Steiner","Kühling Hömig Hoffmann-Riem",2,0,"2","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas",1,FALSE,1
"3472","1BvQ12/01",2001-03-02,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/03/qk20010302_1bvq001201.html;jsessionid=79EE152CAADFCC67B30A432BF7EF857B.2_cid394",2,"Papier","Hömig","Bryde","Jaeger","Hömig","Bryde","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas","Jaeger","Papier","Hömig Bryde Hoffmann-Riem",2,0,"3","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas",1,FALSE,1
"2235","1BvR848/01",2001-05-25,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/05/rk20010525_1bvr084801.html;jsessionid=E62FF95B6F2B845558E317593D5F8A85.2_cid394",2,"Jaeger","Hömig","Hoffmann-Riem","Jaeger","Hömig","Bryde","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas","Bryde","Hoffmann-Riem","Jaeger Hömig Hoffmann-Riem",2,0,"1","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas",2,FALSE,0
"3765","1BvQ32/01",2001-07-31,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/07/qk20010731_1bvq003201.html;jsessionid=B18087CB825D0EE7CC53E3AD29240D61.2_cid370",2,"Haas","Hömig","Hohmann-Dennhardt","Jaeger","Hömig","Bryde","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas","Jaeger Bryde","Haas Hohmann-Dennhardt","Hömig Hoffmann-Riem Steiner",1,0,"4 5","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas",1,FALSE,1
