"","az","date","senat","Anordnung","link","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"977","1BvR2165/961BvR2168/96",1998-03-12,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/03/rk19980312_1bvr216596.html;jsessionid=0E3D4EB62F5AFD59C76206072FC8DA05.2_cid392",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"2916","1BvR1639/95",1998-03-12,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/03/rk19980312_1bvr163995.html;jsessionid=0EB5CE5C262889FF83730E29B797CEC4.2_cid370",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"3638","1BvR222/97",1998-03-12,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/03/rk19980312_1bvr022297.html;jsessionid=0EB5CE5C262889FF83730E29B797CEC4.2_cid370",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"4577","1BvR1935/961BvR1945/961BvR1946/96",1998-03-24,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/03/rk19980324_1bvr193596.html;jsessionid=9AA2FF372055DE417258194BD9D84303.2_cid392",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"5695","1BvR1172/85",1998-03-30,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/03/rk19980330_1bvr117285.html;jsessionid=30E82D87436A8B2C7A9BFCD5CB480106.2_cid394",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"1489","1BvR2008/97",1998-03-31,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/03/rk19980331_1bvr200897.html;jsessionid=30E82D87436A8B2C7A9BFCD5CB480106.2_cid394",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"2899","1BvR1988/971BvR2003/971BvR2011/97",1998-03-31,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/03/rk19980331_1bvr198897.html;jsessionid=30E82D87436A8B2C7A9BFCD5CB480106.2_cid394",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"5209","1BvR2366/97",1998-03-31,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/03/rk19980331_1bvr236697.html;jsessionid=30E82D87436A8B2C7A9BFCD5CB480106.2_cid394",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"2411","1BvR968/97",1998-04-04,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/04/rk19980404_1bvr096897.html;jsessionid=66CBD8BFC11D874466FC828CCBBF8544.2_cid392",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"4595","1BvR1372/90",1998-04-04,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/04/rk19980404_1bvr137290.html;jsessionid=66CBD8BFC11D874466FC828CCBBF8544.2_cid392",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
