"","jahr","senat","kammer","richter","reihenfolge"
"99","2007",2,3,"Broß Osterloh Mellinghofff",321
"100","ab 30/09/2007",1,1,"Papier Hohmann- Dennhardt Hoffmann- Riem",321
"101","ab 30/09/2007",1,2,"Bryde Eichberger Schluckebier",321
"102","ab 30/09/2007",1,3,"Papier Gaier Kirchhof",321
"103","ab 01/01/2008",1,1,"Papier Hoffmann- Riem Eichberger",321
"104","2008",1,2,"Hohmann- Dennhardt Gaier Kirchhof",321
"105","2008",1,3,"Papier Bryde Schluckebier",321
"106","2008",2,1,"Hassemer Di Fabio Landau",321
"107","2008",2,2,"Broß Lübbe- Wolff Gerhardt",321
"108","2008",2,3,"Broß Osterloh Mellinghoff",321
"109","ab 02/04/2008",1,1,"Papier Eichberger Masing",321
"110","ab 02/04/2008",1,2,"Hohmann- Dennhardt Gaier Kirchhof",321
"111","ab 02/04/2008",1,3,"Papier Bryde Schluckebier",321
"112","ab 07/05/2008",2,1,"Voßkuhle Osterloh Mellinghoff",132
"113","ab 07/05/2008",2,2,"Broß Di Fabio Landau",321
"114","ab 07/05/2008",2,3,"Mellinghoff Lübbe- Wolff Gerhardt",321
"115","ab 01/01/2009",1,1,"Papier Eichberger Masing",321
"116","2009",1,2,"Hohmann- Dennhardt Gaier Kirchhof",321
"117","2009",1,3,"Papier Bryde Schluckebier",321
"118","2009",2,1,"Osterloh Mellinghoff Gerhardt ",321
"119","2009",2,2,"Broß Di Fabio Landau",321
"120","2009",2,3,"Voßkuhle Mellinghoff Lübbe- Wolff",132
"121","2010",1,1,"Papier Eichberger Masing",321
"122","2010",1,2,"Hohmann- Dennhardt Gaier Kirchhof",321
"123","2010",1,3,"Papier Bryde Schluckebier",321
"124","2010",2,1,"Osterloh Mellinghoff Gerhardt ",321
"125","2010",2,2,"Broß Di Fabio Landau",321
"126","2010",2,3,"Voßkuhle Mellinghoff Lübbe-Wolff",132
"127","ab 15/03/2010",1,1,"Kirchhof Eichberger Masing",321
"128","ab 15/03/2010",1,2,"Hohmann-Dennhardt Gaier Paulus",321
"129","ab 15/03/2010",1,3,"Kirchhof Bryde Schluckebier",321
"130","ab 16/11/2010",2,1,"Voßkuhle Gerhardt Landau",321
"131","ab 16/11/2010",2,2,"Di Fabio Gerhardt Hermanns",321
"132","ab 16/11/2010",2,3,"Mellinghoff Lübbe-Wolff Huber",321
"133","ab 01/01/2011",1,1,"Kirchhof Eichberger Masing",321
"134","2011",1,2,"Hohmann-Dennhardt Gaier Paulus",321
"135","2011",1,3,"Kirchhof Bryde Schluckebier",321
"136","2011",2,1,"Voßkuhle Gerhardt Landau",321
"137","2011",2,2,"Di Fabio Gerhardt Hermanns",321
"138","2011",2,3,"Mellinghoff Lübbe-Wolff Huber",321
"139","ab 02/02/2011",1,1,"Kirchhof Eichberger Masing",321
