i	ID	dateofDecision	senateNumber	chamberNumberCitation	chamberNumberText	judgesFromText_raw	judgesFromText	judgesFromCitation	Anordnung	link
214	213	2BvR2058/00	20.03.2001	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Mellinghoff  	Limbach, Hassemer, Mellinghoff	Limbach, Hassemer, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/03/rk20010320_2bvr205800.html;jsessionid=C89EDAD855C42880FF104E0F40E72D02.2_cid383
215	214	1BvR2099/03	01.03.2004	1	3	NA	 den Präsidenten Papier den Richter Steiner die Richterin Hohmann-Dennhardt  	Papier, Steiner, Hohmann-Dennhardt	Papier, Steiner, Hohmann-Dennhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/03/rk20040301_1bvr209903.html;jsessionid=9F0CD05813579853E8471C5A83735761.2_cid392
216	215	1BvR285/06	23.11.2006	1	1	1	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/11/rk20061123_1bvr028506.html;jsessionid=A8439984FC9E689F07EAF30F30900166.2_cid383
217	216	1BvL16/00	06.02.2001	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde, 	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/02/lk20010206_1bvl001600.html;jsessionid=B8CC7BA19C3987DF57F372FAD9865811.2_cid383
218	217	2BvR483/00	27.11.2002	2	3	3	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/11/rk20021127_2bvr048300.html;jsessionid=39C855A6AD91681EEBFDF1BD80E6C30D.2_cid383
219	218	2BvQ34/04	10.08.2004	2	2	NA	 den Richter Jentsch den Richter Broß die Richterin Lübbe-Wolff  	Jentsch, Broß, Lübbe-Wolff	Jentsch, Broß, Lübbe-Wolff	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/08/qk20040810_2bvq003404.html;jsessionid=DC786FF2B03E89C7D551440CD235C8EF.2_cid393
220	219	1BvR624/03	29.05.2007	1	2	2	 Bryde Eichberger Schluckebier  	Bryde, Eichberger, Schluckebier	Bryde, Eichberger, Schluckebier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/05/rk20070529_1bvr062403.html;jsessionid=1D28A2C3EFE2BC59E30C63667C1FF373.2_cid393
221	220	2BvR2759/12	22.01.2014	2	2	2	 den Richter Gerhardt die Richterin Hermanns den Richter Müller  	Gerhardt, Hermanns, Müller	Gerhardt, Hermanns, Müller	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/01/rk20140122_2bvr275912.html;jsessionid=63B0B841B56E6E411B05B35DC163D5FE.2_cid383
222	221	1BvR2783/09	15.05.2012	1	3	3	 den Vizepräsidenten Kirchhof den Richter Schluckebier die Richterin Baer  	Kirchhof, Schluckebier, Baer	Kirchhof, Schluckebier, Baer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/05/rk20120515_1bvr278309.html;jsessionid=9846BA0FAEEABB5BA24AA9C270E6E7CE.2_cid370
223	222	1BvL19/96	15.12.2000	1	NA	NA	 des Vizepräsidenten Papier des Richters Kühling der Richterinnen Jaeger Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt des Richters Hoffmann-Riem  	Papier, Kühling, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Kühling, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/12/ls20001215_1bvl001996.html;jsessionid=8D9C345516D1425AFB8D2E24B8421C07.2_cid393
224	223	2BvR1710/01	07.11.2001	2	2	NA	 den Richter Sommer die Richterin Osterloh den Richter Di Fabio  	Sommer, Osterloh, Di Fabio	Sommer, Osterloh, DiFabio	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/11/rk20011107_2bvr171001.html;jsessionid=6D35C0034064EC361D20575B51B76392.2_cid394
225	224	1BvR574/15	09.04.2015	1	2	2	 die Richter Gaier   Schluckebier   Paulus  	Gaier, Schluckebier, Paulus	Gaier, Schluckebier, Paulus	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/04/rk20150409_1bvr057415.html;jsessionid=3624D6FB5F6354705FF6630AC3CB6901.2_cid394
226	225	1BvR360/98	20.03.2000	1	2	2	 Richter Kühling die Richterin Jaeger den Richter Hömig  	Kühling, Jaeger, Hömig	Kühling, Jaeger, Hömig	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/03/rk20000320_1bvr036098.html;jsessionid=E38009B645B5808F342A2A899A6DA9F1.2_cid361
227	226	2BvR2091/99	31.03.2000	2	4	4	 Präsidentin Limbach die Richter Jentsch Di Fabio  	Limbach, Jentsch, Di Fabio	Limbach, Jentsch, DiFabio	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/03/rk20000331_2bvr209199.html;jsessionid=C1D7AE49A64C1D7B614FF6025FD0F70D.2_cid383
228	227	1BvR972/041BvR1858/04	12.07.2005	1	3	NA	 den Präsidenten Papier die Richter Steiner Gaier  	Papier, Gaier, Steiner	Papier, Steiner, Gaier	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/07/rk20050712_1bvr097204.html;jsessionid=38CD8795F696B833AD78DCDE26637C83.2_cid394
229	228	1BvR1995/06	19.04.2007	1	2	2	 Bryde Eichberger Schluckebier  	Bryde, Eichberger, Schluckebier	Bryde, Eichberger, Schluckebier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/04/rk20070419_1bvr199506.html;jsessionid=A6900DECCC3B9D1A13C8D08D62381D57.2_cid361
230	229	1BvR2298/09	09.11.2009	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/11/rk20091109_1bvr229809.html;jsessionid=68B6869068024D0439424180B0914FED.2_cid392
231	230	2BvR889/08	09.12.2008	2	1	1	 den Vizepräsidenten Voßkuhle die Richterin Osterloh den Richter Mellinghoff  	Voßkuhle, Osterloh, Mellinghoff	Voßkuhle, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/12/rk20081209_2bvr088908.html;jsessionid=A4356D533A9A3A8809BA1033661E3D69.2_cid370
232	231	1BvR1998/02	14.04.2003	1	3	NA	 den Präsidenten Papier den Richter Steiner die Richterin Hohmann-Dennhardt  	Papier, Steiner, Hohmann-Dennhardt	Papier, Steiner, Hohmann-Dennhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/04/rk20030414_1bvr199802.html;jsessionid=07F945090635F7ACF2B688B6D5765BB1.2_cid370
233	232	2BvR1508/99	02.03.2000	2	4	4	 Präsidentin Limbach die Richter Jentsch Di Fabio  	Limbach, Jentsch, Di Fabio	Limbach, Jentsch, DiFabio	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/03/rk20000302_2bvr150899.html;jsessionid=786B79FF72D9093AD832BBB3A3216E03.2_cid361
234	233	1BvR704/03	29.11.2006	1	2	2	 Bryde Eichberger Schluckebier  	Bryde, Eichberger, Schluckebier	Bryde, Eichberger, Schluckebier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/11/rk20061129_1bvr070403.html;jsessionid=E7E3FDB3ADF4B5024811AF8DA3157A18.2_cid392
235	234	2BvR1506/03	05.11.2003	2	NA	NA	 Vizepräsident Hassemer Jentsch Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff Gerhardt  	Hassemer, Jentsch, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt	Hassemer, Jentsch, Broß, Osterloh, DiFabio, Mellinghoff, Lübbe-Wolff, Gerhardt	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/11/rs20031105_2bvr150603.html;jsessionid=90F6DD276D2B116264A86EE5DAC31753.2_cid394
236	235	2BvR2194/99	18.01.2006	2	NA	NA	 Vizepräsident Hassemer Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff Gerhardt Landau  	Hassemer, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau	Hassemer, Broß, Osterloh, DiFabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/01/rs20060118_2bvr219499.html;jsessionid=EC945D561361438A928A6DD77298E136.2_cid383
237	236	2BvC18/14	03.03.2016	2	NA	NA	 Präsident Voßkuhle   Landau   Huber   Hermanns   Müller   Kessal-Wulf   König   Maidowski  	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2016/03/cs20160303_2bvc001814.html;jsessionid=6C990C95823B12706064CC4FA81400E9.2_cid383
238	237	2BvR1351/03	09.10.2003	2	3	3	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/10/rk20031009_2bvr135103.html;jsessionid=39C9A51AE2D9D53079343B3933740E31.2_cid393
239	238	1BvR1125/14	29.09.2015	1	1	1	 den Vizepräsidenten Kirchhof   den Richter Eichberger   die Richterin Britz  	Kirchhof, Eichberger, Britz	Kirchhof, Eichberger, Britz	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/09/rk20150929_1bvr112514.html;jsessionid=DA3972C577072AFF46CBD3C6B3A39218.2_cid393
240	239	1BvR3541/131BvR3543/131BvR3600/13	06.03.2014	1	3	3	 den Vizepräsidenten Kirchhof den Richter Masing die Richterin Baer  	Kirchhof, Masing, Baer	Kirchhof, Masing, Baer	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/03/rk20140306_1bvr354113.html;jsessionid=DABFEE5C234D4D2B1BCDDEDB3B0093B0.2_cid361
241	240	2BvR1242/01	08.11.2001	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Mellinghoff  	Limbach, Hassemer, Mellinghoff	Limbach, Hassemer, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/11/rk20011108_2bvr124201.html;jsessionid=92C1C50C6234F6B86FB70B91D4C0E7C4.2_cid393
242	241	1BvR1281/04	29.09.2004	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde, 	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/09/rk20040929_1bvr128104.html;jsessionid=6AC461CA908A0BFC6F9B44F888FAC502.2_cid383
243	242	1BvR1036/04	17.03.2005	1	NA	NA	 den Präsidenten Papier die Richter Steiner Gaier  	Papier, Steiner, Gaier	Papier, Steiner, Gaier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/03/rk20050317_1bvr103604.html;jsessionid=86018923F099BD06429495C46BC33F8B.2_cid370
244	243	2BvR1786/02	30.12.2002	2	2	NA	 die Richter Jentsch Broß die Richterin Lübbe-Wolff  	Jentsch, Broß, Lübbe-Wolff	Jentsch, Broß, Lübbe-Wolff	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/12/rk20021230_2bvr178602.html;jsessionid=50932CD28FA7218491695AA3F17BE07E.2_cid361
245	244	1BvR1964/09	17.11.2009	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/11/rk20091117_1bvr196409.html;jsessionid=45FCF6CB873E3CE7A22EC5619FF9DEF0.2_cid393
246	245	1BvR2853/08	11.11.2009	1	1	1	 den Präsidenten Papier die Richter Eichberger Masing  	Papier, Eichberger, Masing	Papier, Eichberger, Masing	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/11/rk20091111_1bvr285308.html;jsessionid=68B6869068024D0439424180B0914FED.2_cid392
247	246	2BvR2486/15	02.02.2016	2	3	3	 die Richter Huber   Müller   Maidowski  	Huber, Müller, Maidowski	Huber, Müller, Maidowski	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2016/02/rk20160202_2bvr248615.html;jsessionid=A3C6F3F415883864366316145CF68B8E.2_cid361
248	247	2BvR343/09	11.08.2009	2	2	2	 die Richter Broß Di Fabio die Richterin Lübbe-Wolff  	Broß, Di Fabio, Lübbe-Wolff	Broß, DiFabio, Lübbe-Wolff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/08/rk20090811_2bvr034309.html;jsessionid=51CD31F9F518680A6559B3561958CEE5.2_cid392
249	248	1BvR1454/97	31.03.2000	1	1	1	 Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/03/rk20000331_1bvr145497.html;jsessionid=C1D7AE49A64C1D7B614FF6025FD0F70D.2_cid383
250	249	2BvR335/08	26.08.2008	2	1	1	 den Vizepräsidenten Voßkuhle die Richterin Osterloh den Richter Mellinghoff  	Voßkuhle, Osterloh, Mellinghoff	Voßkuhle, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/08/rk20080826_2bvr033508.html;jsessionid=E39EF4C2D8EA6E5707E05FAAFD52A116.2_cid370
251	250	1BvR2721/05	14.02.2007	1	1	1	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/02/rk20070214_1bvr272105.html;jsessionid=45943E37C582A85927D6A3ED0314B868.2_cid370
252	251	1BvR2285/03	16.01.2004	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde, 	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/01/rk20040116_1bvr228503.html;jsessionid=004D71F3FF157D748DC4F9A617198747.2_cid394
253	252	2BvR1596/01	28.06.2006	2	3	3	 den Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/06/rk20060628_2bvr159601.html;jsessionid=4473BF7B60028541E2D5521F79900042.2_cid394
254	253	2BvR539/99	13.04.1999	2	2	2	 Richterin Präsidentin Limbach die Richter Winter Hassemer  	Limbach, Winter, Hassemer	Limbach, Winter, Hassemer	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/04/rk19990413_2bvr053999.html;jsessionid=BD48352A2F29D6206982799894B79B90.2_cid361
255	254	2BvR2042/05	12.03.2008	2	2	2	 den Richter Broß die Richterin Lübbe-Wolff den Richter Gerhardt  	Broß, Lübbe-Wolff, Gerhardt	Broß, Lübbe-Wolff, Gerhardt	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/03/rk20080312_2bvr204205.html;jsessionid=9302B7D26FC18AF60523567A9FEC5F58.2_cid361
256	255	1BvR389/00	24.10.2000	1	1	1	 den Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/10/rk20001024_1bvr038900.html;jsessionid=83EDC6D8C7B0ED4F90F11B1DE9C590A2.2_cid361
257	256	2BvR2436/10	None	NA	NA	NA	 President Vosskuhle   Lübbe-Wolff   Gerhardt   Landau   Huber   Hermanns   Müller   Kessal-Wulf  	Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns, Müller, Kessal-Wulf	Vosskuhle, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns, Müller, Kessal-Wulf	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/EN/2013/09/rs20130917_2bvr243610en.html;jsessionid=34EBBA5B1E18F5B4D35FBF0FA49C5BBC.2_cid393
258	257	1BvR2130/00	19.01.2001	1	2	2	 den Richter Kühling die Richterin Jaeger den Richter Hömig  	Kühling, Jaeger, Hömig	Kühling, Jaeger, Hömig	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/01/rk20010119_1bvr213000.html;jsessionid=33515FE184E205A92F4623B2785B578A.2_cid370
259	258	2BvR1815/06	05.10.2006	2	3	3	 den Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/10/rk20061005_2bvr181506.html;jsessionid=66CF20F6A4C4935A2BA066D7811F2B05.2_cid394
260	259	1BvR3196/11	30.09.2013	1	2	2	 die Richter Gaier Schluckebier Paulus  	Gaier, Schluckebier, Paulus	Gaier, Schluckebier, Paulus	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/09/rk20130930_1bvr319611.html;jsessionid=B1A80688CC99F3B3389681B9C0BACDEF.2_cid370
261	260	2BvE5/07	04.05.2010	2	NA	NA	 Präsident Voßkuhle Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff Gerhardt Landau  	Voßkuhle, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau	Voßkuhle, Broß, Osterloh, DiFabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/05/es20100504_2bve000507.html;jsessionid=6331FCEC6F88730CCDF067D8ADDCA440.2_cid394
262	261	1BvQ13/99	30.07.1999	1	1	1	 Vizepräsidenten Papier die Richter Grimm Hömig  	Papier, Grimm, Hömig	Papier, Grimm, Hömig	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/07/qk19990730_1bvq001399.html;jsessionid=B85ADECA9FB6DCC6739CEE3A34717C76.2_cid393
263	262	2BvR63/16	23.02.2016	2	3	3	 die Richter Huber   Müller   Maidowski  	Huber, Müller, Maidowski	Huber, Müller, Maidowski	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2016/02/rk20160223_2bvr006316.html;jsessionid=9F1C2A724B210D4842B8F60EA0166357.2_cid392
264	263	2BvR891/00	10.10.2001	2	1	1	 Sommer Broß Mellinghoff  	Sommer, Broß, Mellinghoff	Sommer, Broß, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/10/rk20011010_2bvr089100.html;jsessionid=8A7EF691B455FE1DCA7920440CF41733.2_cid383
265	264	2BvR1380/08	18.08.2013	2	1	1	 den Präsidenten Voßkuhle die Richter Gerhardt Huber  	Voßkuhle, Gerhardt, Huber	Voßkuhle, Gerhardt, Huber	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/08/rk20130818_2bvr138008.html;jsessionid=04D2B8A83AD83848AF5AFD06C0CB29DA.2_cid393
266	265	2BvR471/09	13.08.2009	2	2	2	 die Richter Broß Di Fabio Landau  	Broß, Di Fabio, Landau	Broß, DiFabio, Landau	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/08/rk20090813_2bvr047109.html;jsessionid=51CD31F9F518680A6559B3561958CEE5.2_cid392
267	266	1BvR2284/95	18.01.2002	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde, 	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/01/rk20020118_1bvr228495.html;jsessionid=F372298CB1D8E242A4B1409EEC2C802A.2_cid383
268	267	1BvR310/03	03.03.2003	1	3	NA	 den Präsidenten Papier den Richter Steiner die Richterin Hohmann-Dennhardt  	Papier, Steiner, Hohmann-Dennhardt	Papier, Steiner, Hohmann-Dennhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/03/rk20030303_1bvr031003.html;jsessionid=41FF27F346ABF1AC0716E07A8DF01E6E.2_cid393
269	268	1BvR409/01	22.03.2001	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/03/rk20010322_1bvr040901.html;jsessionid=78FB85A11981309AB635AF94388C7A8E.2_cid394
270	269	1BvL19/971BvL20/971BvL21/971BvL11/98	20.02.2002	1	NA	NA	 des Vizepräsidenten Papier der Richterinnen Jaeger Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde  	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/02/ls20020220_1bvl001997.html;jsessionid=348A165B83F1652014BEE798C6AB3E2F.2_cid370
271	270	1BvR639/12	07.02.2013	1	2	2	 die Richter Gaier Schluckebier Paulus  	Gaier, Schluckebier, Paulus	Gaier, Schluckebier, Paulus	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/02/rk20130207_1bvr063912.html;jsessionid=5461B57EF276AE4BDC5C74FAD6DCEA8E.2_cid370
272	271	1BvR384/05	24.01.2007	1	2	2	 Bryde Eichberger Schluckebier  	Bryde, Eichberger, Schluckebier	Bryde, Eichberger, Schluckebier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/01/rk20070124_1bvr038405.html;jsessionid=80FACA29D73F5CB28AF4F965AC4B94DC.2_cid370
273	272	1BvR3227/08	31.08.2009	1	1	1	 den Präsidenten Papier die Richter Eichberger Masing  	Papier, Eichberger, Masing	Papier, Eichberger, Masing	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/08/rk20090831_1bvr322708.html;jsessionid=5159313913D162C5D840340CE6295523.2_cid393
274	273	1BvR605/02	04.04.2002	1	3	3	 den Vizepräsidenten Papier die Richterinnen Haas Hohmann-Dennhardt  	Papier, Haas, Hohmann-Dennhardt	Papier, Haas, Hohmann-Dennhardt	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/04/rk20020404_1bvr060502.html;jsessionid=E7AD348F4055B6AF296AA939709223DE.2_cid361
275	274	2BvR2126/96	04.12.1998	2	2	2	 Präsidentin Limbach die Richter Winter Hassemer  	Limbach, Winter, Hassemer	Limbach, Winter, Hassemer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/12/rk19981204_2bvr212696.html;jsessionid=4EE2E362822F9B9EC60E1A492A8BA67B.2_cid392
276	275	2BvR2004/04	16.11.2004	2	3	NA	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/11/rk20041116_2bvr200404.html;jsessionid=7A5577B4C08248FB7EE79399C0AFC134.2_cid370
277	276	1BvR661/94	20.02.1998	1	NA	NA	 Vizepräsidenten Seidl der Richter Grimm Kühling der Richterinnen Jaeger Haas der Richter Hömig Steiner  	Seidl, Grimm, Kühling, Jaeger, Haas, Hömig, Steiner	Seidl, Grimm, Kühling, Jaeger, Haas, Hömig, , Steiner, 	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/02/rs19980220_1bvr066194.html;jsessionid=5EB9DB623F167BAC292EBF61501B435F.2_cid361
278	277	2BvR1392/10	14.07.2010	2	1	1	 die Richterin Osterloh die Richter Gerhardt Landau  	Osterloh, Gerhardt, Landau	Osterloh, Gerhardt, Landau	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/07/rk20100714_2bvr139210.html;jsessionid=20AA0549C27CCCA78ADE9C80AC423593.2_cid383
279	278	1BvR1444/02	21.08.2002	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/08/rk20020821_1bvr144402.html;jsessionid=0357DEC707186E41B35463FB6A3905F6.2_cid370
280	279	1BvR151/00	21.03.2000	1	3	3	 Vizepräsidenten Papier die Richterinnen Haas Hohmann-Dennhardt  	Papier, Haas, Hohmann-Dennhardt	Papier, Haas, Hohmann-Dennhardt	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/03/rk20000321_1bvr015100.html;jsessionid=E38009B645B5808F342A2A899A6DA9F1.2_cid361
281	280	2BvR1452/98	23.09.1998	2	1	1	 Sommer Jentsch Hassemer  	Sommer, Jentsch, Hassemer	Sommer, Jentsch, Hassemer	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/09/rk19980923_2bvr145298.html;jsessionid=8824619D920E8E0A4A7F07BACC9697D5.2_cid394
282	281	2BvR1911/99	07.12.1999	2	2	2	 die Richterin Präsidentin Limbach die Richter Jentsch Hassemer  	Limbach, Jentsch, Hassemer	Limbach, Jentsch, Hassemer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/12/rk19991207_2bvr191199.html;jsessionid=2179D6219899012BCE4F25B63D7327C4.2_cid392
283	282	2BvR2033/98	03.12.1998	2	2	2	 Präsidentin Limbach die Richter Winter Hassemer  	Limbach, Winter, Hassemer	Limbach, Winter, Hassemer	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/12/rk19981203_2bvr203398.html;jsessionid=4EE2E362822F9B9EC60E1A492A8BA67B.2_cid392
284	283	1BvL2/06	20.06.2006	1	2	2	 die Richterin Haas die Richter Bryde Eichberger  	Haas, Bryde, Eichberger	Haas, Bryde, Eichberger	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/06/lk20060620_1bvl000206.html;jsessionid=D0894AE229C19BD89905F85E82306D99.2_cid370
