i	ID	dateofDecision	senateNumber	chamberNumberCitation	chamberNumberText	judgesFromText_raw	judgesFromText	judgesFromCitation	Anordnung	link
16	15	1BvR2980/14	11.01.2016	1	1	1	 den Vizepräsidenten Kirchhof   den Richter Eichberger   die Richterin Britz  	Kirchhof, Eichberger, Britz	Kirchhof, Eichberger, Britz	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2016/01/rk20160111_1bvr298014.html;jsessionid=3E6764BD0E12E794E6AD3584F64CDD16.2_cid370
17	16	1BvR820/96	25.03.1998	1	NA	3	 Vizepräsidenten Papier die Richterin Haas den Richter Steiner  	Papier, Haas, Steiner	Papier, Haas, Steiner	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/03/rk19980325_1bvr082096.html;jsessionid=9AA2FF372055DE417258194BD9D84303.2_cid392
18	17	2BvF3/92	28.01.1998	2	NA	NA	 Präsidentin Limbach Graßhof Kruis Kirchhof Winter Sommer Jentsch Hassemer  	Limbach, Graßhof, Kruis, Kirchhof, Winter, Sommer, Jentsch, Hassemer	Limbach, Graßhof, Kruis, Kirchhof, Winter, Sommer, Jentsch, Hassemer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/01/fs19980128_2bvf000392.html;jsessionid=092ECB9DA1A61C105D59CE71D134F57D.2_cid393
19	18	2BvR150/03	26.02.2003	2	3	NA	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/02/rk20030226_2bvr015003.html;jsessionid=70632630B08C8F8D60607266D4109895.2_cid370
20	19	1BvR1905/02	06.12.2005	1	NA	NA	 des Präsidenten Papier der Richterin Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde Gaier  	Papier, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde, Gaier	Papier, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde, Gaier, , Haas, 	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/12/rs20051206_1bvr190502.html;jsessionid=AF275A447F07F058B5EFD6963BF014B1.2_cid370
21	20	1BvR1406/02	08.01.2004	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde, 	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/01/rk20040108_1bvr140602.html;jsessionid=00DFE83C0A03A3EA869AF3E8CDADF943.2_cid392
22	21	2BvQ57/09	08.09.2009	2	3	3	 den Vizepräsidenten Voßkuhle die Richterin Osterloh den Richter Gerhardt  	Voßkuhle, Osterloh, Gerhardt	Voßkuhle, Osterloh, Gerhardt	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/09/qk20090908_2bvq005709.html;jsessionid=6080B1BEFEB3C4924CD9C62B1356A143.2_cid394
23	22	2BvR955/002BvR1038/01	26.10.2004	2	NA	NA	 Vizepräsident Hassemer Jentsch Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff Gerhardt  	Hassemer, Jentsch, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt	Hassemer, Jentsch, Broß, Osterloh, DiFabio, Mellinghoff, Lübbe-Wolff, Gerhardt, , Lübbe-Wolff, 	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/10/rs20041026_2bvr095500.html;jsessionid=B46F6C30003008F0B8E71B68F4E3E5CA.2_cid393
24	23	1BvR1745/06	08.06.2010	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/06/rk20100608_1bvr174506.html;jsessionid=77BEBED17DB4BBFF487690C5ADDC57B8.2_cid392
25	24	2BvR1188/05	16.01.2007	2	1	1	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/01/rk20070116_2bvr118805.html;jsessionid=C1230190A0535FAEE5932F6D9DC6E70A.2_cid394
