"","az","date","senat","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"607"," 2 BvR 54/04  ",2004-03-03,2,1,"Broß","DiFabio","Osterloh","Broß","DiFabio","Gerhardt","Lübbe-Wolff Jentsch Mellinghoff Osterloh Hassemer","Gerhardt","Osterloh","Broß DiFabio Lübbe-Wolff",1,0,"4","Lübbe-Wolff Jentsch Mellinghoff Osterloh Hassemer",1,FALSE,1
"641"," 2 BvQ 25/05  ",2005-09-02,2,1,"Jentsch","Broß","Lübbe-Wolff","Broß","DiFabio","Lübbe-Wolff","Gerhardt Jentsch Mellinghoff Osterloh Hassemer","DiFabio","Jentsch","Broß Lübbe-Wolff Jentsch",1,0,"1","Jentsch Mellinghoff Osterloh Hassemer",1,FALSE,0
"2665"," 2 BvR 1779/05  ",2005-12-23,2,1,"Broß","DiFabio","Landau","Hassemer","DiFabio","Landau","Gerhardt Lübbe-Wolff Broß Mellinghoff Osterloh","Hassemer","Broß","DiFabio Landau Gerhardt",1,0,"3","Gerhardt Lübbe-Wolff Broß Mellinghoff Osterloh",0,FALSE,1
"2400"," 2 BvR 2/06  ",2006-01-05,2,1,"Broß","Mellinghoff","Landau","Hassemer","DiFabio","Landau","Gerhardt Lübbe-Wolff Broß Mellinghoff Osterloh","DiFabio","Mellinghoff","Broß Landau Gerhardt",1,0,"3","Gerhardt Lübbe-Wolff Mellinghoff Osterloh",0,FALSE,1
"526"," 2 BvR 173/06  ",2006-02-23,2,1,"Hassemer","DiFabio","Gerhardt","Hassemer","DiFabio","Landau","Gerhardt Lübbe-Wolff Broß Mellinghoff Osterloh","Landau","Gerhardt","Hassemer DiFabio Gerhardt",2,0,"1","Gerhardt Lübbe-Wolff Broß Mellinghoff Osterloh",2,FALSE,0
"3686"," 2 BvR 1392/02  ",2006-06-27,2,1,"Broß","Osterloh","Mellinghoff","Hassemer","DiFabio","Landau","Gerhardt Lübbe-Wolff Broß Mellinghoff Osterloh","Hassemer DiFabio Landau","Broß Osterloh Mellinghoff","Gerhardt Lübbe-Wolff Broß",2,0,"3 4 5","Gerhardt Lübbe-Wolff Broß Mellinghoff Osterloh",1,FALSE,1
"62"," 2 BvR 513/06  ",2006-07-12,2,1,"Hassemer","DiFabio","Gerhardt","Hassemer","DiFabio","Landau","Gerhardt Lübbe-Wolff Broß Mellinghoff Osterloh","Landau","Gerhardt","Hassemer DiFabio Gerhardt",2,0,"1","Gerhardt Lübbe-Wolff Broß Mellinghoff Osterloh",2,FALSE,0
"4077"," 2 BvR 1339/06  ",2006-12-08,2,1,"Broß","Lübbe-Wolff","Gerhardt","Hassemer","DiFabio","Landau","Gerhardt Lübbe-Wolff Broß Mellinghoff Osterloh","Hassemer DiFabio Landau","Broß Lübbe-Wolff Gerhardt","Gerhardt Lübbe-Wolff Broß",2,0,"1 2 3","Gerhardt Lübbe-Wolff Broß Mellinghoff Osterloh",2,FALSE,0
"2959"," 2 BvR 1103/07  ",2008-01-14,2,1,"Hassemer","DiFabio","Gerhardt","Hassemer","DiFabio","Landau","Gerhardt Lübbe-Wolff Broß Mellinghoff Osterloh","Landau","Gerhardt","Hassemer DiFabio Gerhardt",2,0,"1","Gerhardt Lübbe-Wolff Broß Mellinghoff Osterloh",2,FALSE,0
"3516"," 2 BvR 2306/07  ",2008-05-07,2,1,"Hassemer","DiFabio","Landau","Voßkuhle","Osterloh","Mellinghoff","Landau DiFabio Broß Gerhardt Lübbe-Wolff","Voßkuhle Osterloh Mellinghoff","Hassemer DiFabio Landau","Landau DiFabio Broß",0,1,"1 2","Landau DiFabio Broß Gerhardt Lübbe-Wolff",1,FALSE,0
"5092"," 2 BvR 1448/08  ",2008-08-12,2,1,"Osterloh","Mellinghoff","Gerhardt","Voßkuhle","Osterloh","Mellinghoff","Landau DiFabio Broß Gerhardt Lübbe-Wolff","Voßkuhle","Gerhardt","Osterloh Mellinghoff Landau",1,0,"4","Landau DiFabio Broß Gerhardt Lübbe-Wolff",2,FALSE,1
"2347"," 2 BvQ 56/09  ",2009-09-08,2,1,"Osterloh","Gerhardt","Landau","Osterloh","Mellinghoff","Gerhardt","Landau DiFabio Broß Voßkuhle Lübbe-Wolff","Mellinghoff","Landau","Osterloh Gerhardt Landau",2,0,"1","Landau DiFabio Broß Voßkuhle",2,FALSE,0
"2550"," 2 BvQ 77/09  ",2009-11-05,2,1,"Broß","Osterloh","Gerhardt","Osterloh","Mellinghoff","Gerhardt","Landau DiFabio Broß Voßkuhle Lübbe-Wolff","Mellinghoff","Broß","Osterloh Gerhardt Landau",2,0,"3","Landau DiFabio Broß Voßkuhle Lübbe-Wolff",2,FALSE,1
"5286"," 2 BvR 2879/09  ",2009-12-22,2,1,"Mellinghoff","Gerhardt","Landau","Osterloh","Mellinghoff","Gerhardt","Landau DiFabio Broß Voßkuhle Lübbe-Wolff","Osterloh","Landau","Mellinghoff Gerhardt Landau",1,0,"1","Landau DiFabio Broß Voßkuhle Lübbe-Wolff",1,FALSE,0
"275"," 2 BvR 1392/10  ",2010-07-14,2,1,"Osterloh","Gerhardt","Landau","Osterloh","Mellinghoff","Gerhardt","Landau DiFabio Broß Voßkuhle Lübbe-Wolff","Mellinghoff","Landau","Osterloh Gerhardt Landau",2,0,"1","Landau DiFabio Broß Voßkuhle Lübbe-Wolff",2,FALSE,0
"3795"," 2 BvR 2435/10  ",2010-11-26,2,1,"Voßkuhle","Gerhardt","Hermanns","Voßkuhle","Gerhardt","Landau","Hermanns DiFabio Huber Lübbe-Wolff Mellinghoff","Landau","Hermanns","Voßkuhle Gerhardt Hermanns",3,1,"1","Hermanns DiFabio Huber Lübbe-Wolff Mellinghoff",3,FALSE,0
"2723","  2 BvR 2640/12  ",2015-09-11,2,1,"Voßkuhle","Landau","Kessal-Wulf","Voßkuhle","Landau","Hermanns","König Kessal-Wulf Maidowski Müller Huber","Hermanns","Kessal-Wulf","Voßkuhle Landau König",1,0,"2","König Kessal-Wulf Maidowski Müller Huber",1,FALSE,1
"1143"," 2 BvR 2560/95  ",1998-04-07,2,2,"Kruis","Winter","Hassemer","Limbach","Kruis","Winter","Kirchhof Graßhof Hassemer Jentsch Sommer","Limbach","Hassemer","Kruis Winter Kirchhof",0,1,"3","Kirchhof Graßhof Hassemer Jentsch Sommer",1,FALSE,1
"2108"," 2 BvR 1827/97  ",1998-04-07,2,2,"Kruis","Winter","Jentsch","Limbach","Kruis","Winter","Kirchhof Graßhof Hassemer Jentsch Sommer","Limbach","Jentsch","Kruis Winter Kirchhof",0,1,"4","Kirchhof Graßhof Hassemer Jentsch Sommer",0,FALSE,1
